departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Palm Beach Intl (KPBI),KPBI,16.938055555555557,-80.09559631347656,26.68320083618164,07FA,17.388055555555557,-80.274803161621,25.325399398804002
Richmond Executive-Chesterfield County (KFCI),KFCI,14.138055555555555,-77.52500153,37.40650177,07FA,16.338055555555556,-80.274803161621,25.325399398804002
Metropolitan Oakland Intl (KOAK),KOAK,7.288055555555555,-122.221001,37.721298,07FA,14.971388888888889,-80.274803161621,25.325399398804002
Fulton County (KFTY),KFTY,11.238055555555555,-84.5214004517,33.7790985107,07FA,12.738055555555555,-80.274803161621,25.325399398804002
Philadelphia Intl (KPHL),KPHL,8.888055555555555,-75.24109649658203,39.87189865112305,07FA,11.671388888888888,-80.274803161621,25.325399398804002
Opa-locka Executive (KOPF),KOPF,10.788055555555555,-80.278397,25.906999999999996,07FA,11.054722222222223,-80.274803161621,25.325399398804002
Key West Intl (KEYW),KEYW,10.354722222222222,-81.75959777832031,24.556100845336914,07FA,10.921388888888888,-80.274803161621,25.325399398804002
Key West Intl (KEYW),KEYW,9.254722222222222,-81.75959777832031,24.556100845336914,07FA,10.921388888888888,-80.274803161621,25.325399398804002
Palm Beach County Park (KLNA),KLNA,8.821388888888889,-80.08509827,26.59300041,07FA,9.354722222222222,-80.274803161621,25.325399398804002
Norfolk Intl (KORF),KORF,15.671388888888888,-76.20120239257812,36.89459991455078,07FA,18.404722222222222,-80.274803161621,25.325399398804002
Kinston Rgnl (KISO),KISO,15.554722222222223,-77.60880279540002,35.331401825,07FA,17.638055555555557,-80.274803161621,25.325399398804002
Westchester County (KHPN),KHPN,13.154722222222222,-73.70760345458984,41.06700134277344,07FA,16.388055555555557,-80.274803161621,25.325399398804002
Raleigh Exec Jetport At Sanford-Lee County (KTTA),KTTA,13.354722222222222,-79.10079956,35.58369827,07FA,16.254722222222224,-80.274803161621,25.325399398804002
Palm Beach Intl (KPBI),KPBI,15.704722222222221,-80.09559631347656,26.68320083618164,07FA,16.22138888888889,-80.274803161621,25.325399398804002
Naples Muni (KAPF),KAPF,15.688055555555556,-81.7752990723,26.1525993347,07FA,16.154722222222222,-80.274803161621,25.325399398804002
Charlotte-Monroe Executive (KEQY),KEQY,13.488055555555555,-80.62020111,35.01879883,07FA,16.07138888888889,-80.274803161621,25.325399398804002
Savannah/Hilton Head Intl (KSAV),KSAV,13.588055555555556,-81.20210266,32.12760162,07FA,15.838055555555556,-80.274803161621,25.325399398804002
Charlotte-Monroe Executive (KEQY),KEQY,12.404722222222222,-80.62020111,35.01879883,07FA,15.171388888888888,-80.274803161621,25.325399398804002
Charleston Intl/AFB (KCHS),KCHS,10.754722222222222,-80.04049683,32.89860153,07FA,13.37138888888889,-80.274803161621,25.325399398804002
Rocky Mount-Wilson Rgnl (KRWI),KRWI,9.254722222222222,-77.89189910888672,35.856300354003906,07FA,11.688055555555556,-80.274803161621,25.325399398804002
Fort Lauderdale Executive (KFXE),KFXE,9.071388888888889,-80.1707000732,26.1972999573,07FA,9.454722222222221,-80.274803161621,25.325399398804002
Teterboro (KTEB),KTEB,16.454722222222223,-74.060798645,40.85010147089999,07FA,19.62138888888889,-80.274803161621,25.325399398804002
Charleston Intl/AFB (KCHS),KCHS,16.754722222222224,-80.04049683,32.89860153,07FA,19.32138888888889,-80.274803161621,25.325399398804002
St Paul Holman Fld (KSTP),KSTP,8.838055555555556,-93.05999755859376,44.93450164794922,07FA,13.604722222222222,-80.274803161621,25.325399398804002
Palm Beach Intl (KPBI),KPBI,12.421388888888888,-80.09559631347656,26.68320083618164,07FA,13.12138888888889,-80.274803161621,25.325399398804002
Lakefront (KNEW),KNEW,8.954722222222221,-90.02829742431601,30.042400360107003,07FA,11.704722222222221,-80.274803161621,25.325399398804002
Vero Beach Rgnl (KVRB),KVRB,10.188055555555556,-80.417901,27.6556,07FA,11.388055555555555,-80.274803161621,25.325399398804002
Allegheny County (KAGC),KAGC,6.204722222222222,-79.9301986694336,40.354400634765625,07FA,8.988055555555555,-80.274803161621,25.325399398804002
Naples Muni (KAPF),KAPF,7.554722222222222,-81.7752990723,26.1525993347,07FA,8.071388888888889,-80.274803161621,25.325399398804002
Bradley Intl (KBDL),KBDL,13.904722222222222,-72.68319702149999,41.9388999939,07FA,17.52138888888889,-80.274803161621,25.325399398804002
Tampa Intl (KTPA),KTPA,15.87138888888889,-82.533203125,27.975500106811523,07FA,16.754722222222224,-80.274803161621,25.325399398804002
Orlando Intl (KMCO),KMCO,10.838055555555556,-81.30899810791016,28.429399490356445,07FA,11.538055555555555,-80.274803161621,25.325399398804002
Tampa Intl (KTPA),KTPA,10.154722222222222,-82.533203125,27.975500106811523,07FA,11.038055555555555,-80.274803161621,25.325399398804002
Reading Rgnl (KRDG),KRDG,7.188055555555556,-75.96520233154297,40.378501892089844,07FA,10.721388888888889,-80.274803161621,25.325399398804002
Cincinnati Muni (KLUK),KLUK,8.321388888888889,-84.41860199,39.10329819,07FA,10.571388888888889,-80.274803161621,25.325399398804002
Westchester County (KHPN),KHPN,6.138055555555556,-73.70760345458984,41.06700134277344,07FA,9.088055555555556,-80.274803161621,25.325399398804002
Treasure Coast Intl (KFPR),KFPR,7.9880555555555555,-80.36830139,27.49510002,07FA,8.704722222222221,-80.274803161621,25.325399398804002
Birmingham-Shuttlesworth Intl (KBHM),KBHM,5.588055555555555,-86.75350189,33.56290054,07FA,8.188055555555556,-80.274803161621,25.325399398804002
Reading Rgnl (KRDG),KRDG,15.138055555555555,-75.96520233154297,40.378501892089844,07FA,17.704722222222223,-80.274803161621,25.325399398804002
Laurence G Hanscom Fld (KBED),KBED,12.02138888888889,-71.28900146,42.47000122,07FA,15.388055555555555,-80.274803161621,25.325399398804002
Trenton Mercer (KTTN),KTTN,12.154722222222222,-74.8134994506836,40.27669906616211,07FA,14.804722222222223,-80.274803161621,25.325399398804002
Palm Beach Intl (KPBI),KPBI,13.921388888888888,-80.09559631347656,26.68320083618164,07FA,14.354722222222222,-80.274803161621,25.325399398804002
Tampa Intl (KTPA),KTPA,13.304722222222223,-82.533203125,27.975500106811523,07FA,14.238055555555555,-80.274803161621,25.325399398804002
Cecil (KVQQ),KVQQ,12.471388888888889,-81.876701355,30.2187004089,07FA,13.738055555555555,-80.274803161621,25.325399398804002
Tallahassee Intl (KTLH),KTLH,9.804722222222223,-84.35030364990234,30.396499633789066,07FA,11.471388888888889,-80.274803161621,25.325399398804002
