departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Eagle County Rgnl (KEGE),KEGE,10.404722222222222,-106.9179993,39.64260101,18AZ,12.62138888888889,-111.89800262451172,33.818099975585945
Pine Mountain Lake (E45),KE45,7.971388888888889,-120.17800140381,37.861698150635,18AZ,11.888055555555555,-111.89800262451172,33.818099975585945
Hunt Field (KLND),KLND,10.52138888888889,-108.730003357,42.8152008057,18AZ,12.754722222222222,-111.89800262451172,33.818099975585945
Hunt Field (KLND),KLND,9.554722222222223,-108.730003357,42.8152008057,18AZ,11.221388888888889,-111.89800262451172,33.818099975585945
Gillespie Field (KSEE),KSEE,17.138055555555557,-116.97200012206999,32.826198577880994,18AZ,19.754722222222224,-111.89800262451172,33.818099975585945
Idaho Falls Rgnl (KIDA),KIDA,7.304722222222222,-112.070999,43.514599,18AZ,9.221388888888889,-111.89800262451172,33.818099975585945
Granby-Grand County (KGNB),KGNB,11.354722222222222,-105.91699981689452,40.089698791503906,18AZ,13.688055555555556,-111.89800262451172,33.818099975585945
Santa Fe Muni (KSAF),KSAF,11.02138888888889,-106.08899688700001,35.617099761999995,18AZ,12.321388888888889,-111.89800262451172,33.818099975585945
Tri-Cities (KPSC),KPSC,9.12138888888889,-119.11900329589844,46.26470184326172,18AZ,13.87138888888889,-111.89800262451172,33.818099975585945
Chino (KCNO),KCNO,10.204722222222221,-117.637001,33.97470093,18AZ,12.138055555555555,-111.89800262451172,33.818099975585945
Salt Lake City Intl (KSLC),KSLC,14.62138888888889,-111.97799682617188,40.78839874267578,18AZ,16.02138888888889,-111.89800262451172,33.818099975585945
Calvada Meadows (74P),NV74,16.77138888888889,-115.995003,36.271099,18AZ,19.28805555555556,-111.89800262451172,33.818099975585945
Dubuque Rgnl (KDBQ),KDBQ,13.054722222222223,-90.70950317,42.40200043,18AZ,16.32138888888889,-111.89800262451172,33.818099975585945
