departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Yampa Valley (KHDN),KHDN,15.77138888888889,-107.21800230000001,40.48120117,1K1,17.92138888888889,-97.1135025024414,37.77790069580078
Stillwater Rgnl (KSWO),KSWO,12.788055555555555,-97.08570098876999,36.161201477051,1K1,13.438055555555556,-97.1135025024414,37.77790069580078
Pueblo Memorial (KPUB),KPUB,8.138055555555555,-104.49700164794922,38.289100646972656,1K1,10.721388888888889,-97.1135025024414,37.77790069580078
Kansas City Intl (KMCI),KMCI,18.588055555555556,-94.713898,39.2976,1K1,19.42138888888889,-97.1135025024414,37.77790069580078
Drake Field (KFYV),KFYV,15.971388888888889,-94.17009735107422,36.00510025024414,1K1,17.138055555555557,-97.1135025024414,37.77790069580078
Dodge City Rgnl (KDDC),KDDC,15.388055555555555,-99.9655990600586,37.76340103149414,1K1,16.02138888888889,-97.1135025024414,37.77790069580078
Centennial (KAPA),KAPA,17.37138888888889,-104.84899899999999,39.57009888,1K1,19.338055555555556,-97.1135025024414,37.77790069580078
Johnson County Executive (KOJC),KOJC,15.62138888888889,-94.73760223,38.84759903,1K1,16.138055555555557,-97.1135025024414,37.77790069580078
Colonel James Jabara (KAAO),KAAO,15.154722222222222,-97.22109985,37.74760056,1K1,15.171388888888888,-97.1135025024414,37.77790069580078
Wheeler Downtown (KMKC),KMKC,18.67138888888889,-94.5927963256836,39.12319946289063,1K1,19.47138888888889,-97.1135025024414,37.77790069580078
Fort Lauderdale Intl (KFLL),KFLL,16.77138888888889,-80.152702,26.072599,1K1,19.004722222222224,-97.1135025024414,37.77790069580078
Great Bend Muni (KGBD),KGBD,17.304722222222225,-98.85919952389999,38.3442993164,1K1,17.804722222222225,-97.1135025024414,37.77790069580078
Fort Lauderdale Intl (KFLL),KFLL,14.804722222222223,-80.152702,26.072599,1K1,17.07138888888889,-97.1135025024414,37.77790069580078
Hutchinson Rgnl (KHUT),KHUT,11.071388888888889,-97.86060333250002,38.0654983521,1K1,11.288055555555555,-97.1135025024414,37.77790069580078
Fort Lauderdale Executive (KFXE),KFXE,1.0547222222222223,-80.1707000732,26.1972999573,1K1,3.5880555555555556,-97.1135025024414,37.77790069580078
Perry Lefors Field (KPPA),KPPA,14.754722222222222,-100.99600219726999,35.612998962402,1K1,15.404722222222222,-97.1135025024414,37.77790069580078
Blair Muni (KBTA),KBTA,8.788055555555555,-96.11360168457031,41.41809844970703,1K1,9.338055555555556,-97.1135025024414,37.77790069580078
Nashville Intl (KBNA),KBNA,17.588055555555556,-86.6781997680664,36.1245002746582,1K1,20.42138888888889,-97.1135025024414,37.77790069580078
Mc Connell Afb (KIAB),KIAB,16.57138888888889,-97.26820374,37.62189865,1K1,16.804722222222225,-97.1135025024414,37.77790069580078
Branson West Muni - Emerson Field (KFWB),FWB,14.821388888888889,-93.402249,36.698496999999996,1K1,15.954722222222221,-97.1135025024414,37.77790069580078
Wheeler Downtown (KMKC),KMKC,10.504722222222222,-94.5927963256836,39.12319946289063,1K1,11.354722222222222,-97.1135025024414,37.77790069580078
Wheeler Downtown (KMKC),KMKC,18.22138888888889,-94.5927963256836,39.12319946289063,1K1,19.088055555555556,-97.1135025024414,37.77790069580078
Enid Woodring Rgnl (KWDG),KWDG,14.788055555555555,-97.7910995483,36.3791999817,1K1,15.304722222222223,-97.1135025024414,37.77790069580078
Baton Rouge Metro (KBTR),KBTR,11.554722222222223,-91.149597,30.533199,1K1,13.188055555555556,-97.1135025024414,37.77790069580078
Scottsdale (KSDL),KSDL,20.988055555555558,-111.91100311279,33.622898101806996,1K1,23.87138888888889,-97.1135025024414,37.77790069580078
Lloyd Stearman Field (1K1),1K1,15.438055555555556,-97.1135025024414,37.77790069580078,1K1,15.721388888888889,-97.1135025024414,37.77790069580078
Wichita Eisenhower (KICT),KICT,10.02138888888889,-97.433098,37.649899,1K1,10.238055555555555,-97.1135025024414,37.77790069580078
Johnson County Executive (KOJC),KOJC,9.421388888888888,-94.73760223,38.84759903,1K1,10.104722222222222,-97.1135025024414,37.77790069580078
Colonel James Jabara (KAAO),KAAO,8.52138888888889,-97.22109985,37.74760056,1K1,8.671388888888888,-97.1135025024414,37.77790069580078
Branson West Muni - Emerson Field (KFWB),FWB,16.454722222222223,-93.402249,36.698496999999996,1K1,17.554722222222225,-97.1135025024414,37.77790069580078
Stillwater Rgnl (KSWO),KSWO,8.77138888888889,-97.08570098876999,36.161201477051,1K1,9.471388888888889,-97.1135025024414,37.77790069580078
Ellsworth Muni (9K7),K9K7,13.37138888888889,-98.22930145263672,38.75040054321289,1K1,13.854722222222222,-97.1135025024414,37.77790069580078
