departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Acadiana Rgnl (KARA),KARA,14.004722222222222,-91.883904,30.0378,2LS0,14.671388888888888,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,11.571388888888889,-999.0,-999.0,2LS0,12.338055555555556,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,10.12138888888889,-999.0,-999.0,2LS0,11.038055555555555,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,8.62138888888889,-999.0,-999.0,2LS0,9.504722222222222,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,8.204722222222221,-999.0,-999.0,2LS0,8.938055555555556,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,7.721388888888889,-999.0,-999.0,2LS0,8.354722222222222,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,19.054722222222225,-999.0,-999.0,2LS0,19.754722222222224,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,11.538055555555555,-999.0,-999.0,2LS0,12.554722222222223,-90.29440307617188,29.41220092773437
"Near Patterson, LA",foo,13.038055555555555,-999.0,-999.0,2LS0,13.804722222222223,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,11.888055555555555,-999.0,-999.0,2LS0,12.804722222222223,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,9.504722222222222,-999.0,-999.0,2LS0,10.354722222222222,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,8.788055555555555,-999.0,-999.0,2LS0,9.554722222222223,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,7.621388888888889,-999.0,-999.0,2LS0,8.421388888888888,-90.29440307617188,29.41220092773437
"Near Houma, LA",foo,13.171388888888888,-999.0,-999.0,2LS0,13.921388888888888,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,14.571388888888889,-999.0,-999.0,2LS0,15.471388888888889,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,8.071388888888889,-999.0,-999.0,2LS0,11.388055555555555,-90.29440307617188,29.41220092773437
"Near Patterson, LA",foo,8.938055555555556,-999.0,-999.0,2LS0,09:53AM CST (?),-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,11.554722222222223,-999.0,-999.0,2LS0,12.354722222222222,-90.29440307617188,29.41220092773437
"Near Patterson, LA",foo,9.62138888888889,-999.0,-999.0,2LS0,10.454722222222221,-90.29440307617188,29.41220092773437
"Near Houma, LA",foo,9.238055555555555,-999.0,-999.0,2LS0,10.171388888888888,-90.29440307617188,29.41220092773437
"Near Galliano, LA",foo,8.721388888888889,-999.0,-999.0,2LS0,9.571388888888889,-90.29440307617188,29.41220092773437
