origin,longitude,latitude,departure,arrival
Reagan National (KDCA),-77.037697,38.8521,19.533333333333335,20.066666666666666
Boston Logan Intl (KBOS),-71.00520325,42.36429977,19.0,20.033333333333335
Raleigh-Durham Intl (KRDU),-78.7874984741211,35.877601623535156,19.366666666666667,20.033333333333335
Palm Springs Intl (KPSP),-116.50700378417969,33.829700469970696,14.666666666666666,20.016666666666666
Montreal-Trudeau (CYUL),-73.7407989502,45.4706001282,19.083333333333332,20.016666666666666
Jackson-Medgar Wiley Evers Intl (KJAN),-90.0758972168,32.3111991882,18.25,19.983333333333334
Hartsfield-Jackson Intl (KATL),-84.428101,33.6367,19.483333333333334,19.983333333333334
Newark Liberty Intl (KEWR),-74.168701171875,40.69250106811523,19.15,19.983333333333334
LaGuardia (KLGA),-73.87259674,40.77719879,19.083333333333332,19.966666666666665
Des Moines Intl (KDSM),-93.66310119628906,41.53400039672852,18.983333333333334,19.95
Tulsa Intl (KTUL),-95.88809967041016,36.19839859008789,18.55,19.95
Louisville Muhammad Ali Intl (KSDF),-85.736,38.1744,20.016666666666666,19.95
Seattle-Tacoma Intl (KSEA),-122.308998,47.449001,14.666666666666666,19.933333333333334
Eagle County Rgnl (KEGE),-106.9179993,39.64260101,16.716666666666665,19.933333333333334
Dallas-Fort Worth Intl (KDFW),-97.038002,32.896801,18.116666666666667,19.916666666666668
Detroit Metro Wayne Co (KDTW),-83.35340118408203,42.212398529052734,20.116666666666667,19.9
Austin-Bergstrom Intl (KAUS),-97.6698989868164,30.194499969482425,17.716666666666665,19.9
The Eastern Iowa (KCID),-91.71080017089844,41.88470077514648,19.1,19.883333333333333
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,18.9,19.883333333333333
Clinton National (KLIT),-92.22429656979999,34.729400634799994,18.416666666666668,19.866666666666667
Birmingham-Shuttlesworth Intl (KBHM),-86.75350189,33.56290054,18.233333333333334,19.866666666666667
McCarran Intl (KLAS),-115.15200039999999,36.08010101,14.666666666666666,19.85
Charlotte/Douglas Intl (KCLT),-80.94309997558594,35.2140007019043,19.35,19.833333333333332
Salt Lake City Intl (KSLC),-111.97799682617188,40.78839874267578,16.233333333333334,19.833333333333332
Houston Bush Int'ctl (KIAH),-95.34140014648438,29.98439979553223,17.716666666666665,19.833333333333332
Dallas-Fort Worth Intl (KDFW),-97.038002,32.896801,18.033333333333335,19.8
Gerald R Ford Intl (KGRR),-85.52279663,42.88079834,20.283333333333335,19.8
Dallas-Fort Worth Intl (KDFW),-97.038002,32.896801,18.0,19.8
Bradley Intl (KBDL),-72.68319702149999,41.9388999939,18.85,19.8
Pittsburgh Intl (KPIT),-80.23290253,40.49150085,19.683333333333334,19.783333333333335
Rochester Intl (KRST),-92.5,43.90829849243164,18.916666666666668,19.783333333333335
Memphis Intl (KMEM),-89.97669982910156,35.04240036010742,18.3,19.766666666666666
San Antonio Intl (KSAT),-98.46980285644531,29.533700942993164,17.466666666666665,19.766666666666666
Indianapolis Intl (KIND),-86.294403,39.7173,20.05,19.75
LaGuardia (KLGA),-73.87259674,40.77719879,18.933333333333334,19.75
The Eastern Iowa (KCID),-91.71080017089844,41.88470077514648,19.0,19.733333333333334
Springfield (KSGF),-93.38860321,37.24570084,18.383333333333333,19.716666666666665
Kansas City Intl (KMCI),-94.713898,39.2976,18.6,19.716666666666665
Syracuse Hancock Intl (KSYR),-76.1063003540039,43.11119842529297,19.233333333333334,19.7
Miami Intl (KMIA),-80.29060363769531,25.79319953918457,18.15,19.683333333333334
John F Kennedy Intl (KJFK),-73.77890015,40.63980103,18.75,19.683333333333334
Los Angeles Intl (KLAX),-118.40799709999999,33.94250107,14.166666666666666,19.666666666666668
Wichita Eisenhower (KICT),-97.433098,37.649899,18.266666666666666,19.65
Vancouver Int'l (CYVR),-123.183998108,49.193901061999995,14.35,19.65
Philadelphia Intl (KPHL),-75.24109649658203,39.87189865112305,18.9,19.65
Joe Foss Field (KFSD),-96.741897583,43.5820007324,18.45,19.633333333333333
Columbia Metropolitan (KCAE),-81.11949920654297,33.93880081176758,18.9,19.6
Andersen Afb (UAM / PGUA),144.929998,13.584000000000001,Fri 11:28PM ChST,19.583333333333332
Reagan National (KDCA),-77.037697,38.8521,19.0,19.566666666666666
Sacramento Intl (KSMF),-121.59100341796876,38.69540023803711,14.083333333333334,19.566666666666666
John Wayne (KSNA),-117.86799620000001,33.67570114,14.0,19.55
Milwaukee Mitchell Intl Airport (KMKE),-87.89659881591797,42.94720077514648,19.133333333333333,19.533333333333335
Fort Lauderdale Intl (KFLL),-80.152702,26.072599,17.933333333333334,19.533333333333335
John Glenn Columbus Intl Airport (KCMH),-82.891899,39.998001,19.666666666666668,19.516666666666666
London Heathrow (LHR / EGLL),-0.461941,51.4706,17.483333333333334,19.516666666666666
Mason City Muni (KMCW),-93.33129882809999,43.15779876710001,17.65,19.5
Green Bay-Austin Straubel Intl (KGRB),-88.12960052490234,44.48509979248047,18.75,19.466666666666665
San Francisco Intl (KSFO),-122.375,37.61899948120117,14.033333333333333,19.466666666666665
Dallas-Fort Worth Intl (KDFW),-97.038002,32.896801,17.783333333333335,19.466666666666665
Orlando Intl (KMCO),-81.30899810791016,28.429399490356445,18.083333333333332,19.45
Seattle-Tacoma Intl (KSEA),-122.308998,47.449001,14.2,19.45
Toronto Pearson Int'l (CYYZ),-79.63059997559999,43.6772003174,19.283333333333335,19.416666666666668
Northwest Arkansas Rgnl (KXNA),-94.30680100000001,36.281898,18.166666666666668,19.416666666666668
Mason City Muni (KMCW),-93.33129882809999,43.15779876710001,17.65,19.4
John Wayne (KSNA),-117.86799620000001,33.67570114,13.716666666666667,19.383333333333333
Raleigh-Durham Intl (KRDU),-78.7874984741211,35.877601623535156,18.683333333333334,19.383333333333333
Reagan National (KDCA),-77.037697,38.8521,18.766666666666666,19.35
Orlando Intl (KMCO),-81.30899810791016,28.429399490356445,18.0,19.35
Evansville Rgnl (KEVV),-87.53240203860001,38.0369987488,18.35,19.333333333333332
La Crosse Rgnl (KLSE),-91.256699,43.879002,18.566666666666666,19.316666666666666
Phoenix Sky Harbor Intl (KPHX),-112.01200103759766,33.43429946899414,15.2,19.3
Detroit Metro Wayne Co (KDTW),-83.35340118408203,42.212398529052734,19.5,19.3
